"CourseId"|"CourseName"|"CourseCategoryId"|"CourseTitle"|"CourseDescription"|"CourseCredits"|"CourseReferenceId"
224|"AFROAMER 801"|801|"Historiography, Theory and Methods in Visual Culture"|"Focuses on the knowledge, theories, and methods that are fundamental to the transdisciplinary discipline of Visual Cultures. Develops skills in critical reading, research, analysis, writing, and oral presentation. "|"3"|23516
225|"AFROAMER 802"|802|"Visual Cultures: Topics in Visual Cultures"|"Content will vary to facilitate in-depth engagement with a particular topic in Visual Culture. Topics will be pursued with analytic attention to gender, sexuality and race. "|"3"|23517
226|"AFROAMER 813"|813|"Contemporary African and Caribbean Drama"|"Historical and critical study of the classics of contemporary African and Caribbean literary drama written in English. Thematic issues include the African encounter with Europe, postcolonial disillusionment and the betrayal of ideals, and also stylistic matters as the relationship(s) between traditional drama and other performance forms, and modern drama written in European languages. Considers theories and critical approaches to understanding the cross-continental drama traditions and their contexts. Examines the long histories of cultural, performance, and theatrical relationships between Africa and the Caribbean and how the relationships have been shaped by race and economics, past and present. Considers and questions conventional claims made by others and your own assumptions; stimulates analytical thinking about identity. "|"3"|24903
227|"A A E 1"|1|"Cooperative Education/Co-op in Agricultural & Applied Economics"|"Full-time off-campus work experience which combines classroom theory with practical knowledge of operations to provide students with a background upon which to base a professional career. Students receive credit only for the term in which they are actively enrolled and working. The same work experience may not count towards credit in A A E 399. Students must have a declared major in Agricultural and Applied Economics or Agricultural Business Management and will require consent of the supervising instructor and academic advisor."|"1"|23343
228|"A A E 215"|215|"Introduction to Agricultural and Applied Economics"|"Introduction to economic ways of thinking about a wide range of problems and issues. Topics include consumption, production, prices, markets, finance, trade, pollution, growth, farms, taxes, and development. "|"4"|329
229|"A A E 244"|244|"The Environment and the Global Economy"|"""The """"economic way of thinking"""" about global and regional environmental issues. Topics include climate change, biodiversity preservation, ocean fisheries, environmental impacts of international trade, poverty and the environment, and sustainability. """|"4"|19534
230|"A A E 246"|246|"Climate Change Economics and Policy"|"Climate change and the role of applied economics in related policy analysis and research. Economics of mitigation, adaptation and geo-engineering; integrated assessment; environmental implications of energy use; climate change impacts on land use. Use of economic analysis and modeling for public policy design. "|"3"|23941
231|"A A E 267"|267|"Career Development for AAE & ABM Majors"|"Career and professional development geared toward the field of agricultural and applied economics or agricultural business management. Topics include resumes, cover letters, interviewing skills, internship and job applications, writing, career exploration, and networking. Panelists include faculty, alumni, and employers. "|"1"|26266
232|"A A E 289"|289|"Honors Independent Study"|"Research work under direct guidance of an AAE faculty or instructional academic staff member. Students are responsible for arranging the work and credits with the supervising instructor. Intended for students in the CALS Honors Program. "|"1-2"|330
233|"A A E 299"|299|"Independent Study"|"Research work under direct guidance of a faculty or instructional academic staff member. Students are responsible for arranging the work and credits with the supervising instructor. "|"1-3"|331
234|"A A E 306"|306|"The Real Estate Process"|"Introductory survey course. Decision-making processes for the manufacture, marketing, management and financing of real estate space. Survey of institutional context, economics of urbanization, historical pattern and structure of city growth, and public policy issues regarding urban environment and business management."|"3"|3242
235|"A A E 319"|319|"The International Agricultural Economy"|"The nature of trade in agricultural products, trade policies and practices of importing and exporting nations, agricultural policies of major trading blocks, market instability and other primary commodity problems, recent history and current developments in multilateral trade policy. "|"3"|333
236|"A A E 320"|320|"Agricultural Systems Management"|"Application of economics to managing agricultural production systems. Topics include optimizing agricultural production, farm financial analysis, tax management, business entities, federal commodity support programs, and the structure and challenges in the US agricultural sector. "|"3"|334
237|"A A E 322"|322|"Commodity Markets"|"Principles and practices in marketing systems for U.S. agricultural commodities. Vertical organization; forward contracts, future markets, agricultural options and price formation. Alternate management at the farm, processor, wholesale and retail levels. "|"4"|336
238|"A A E 323"|323|"Cooperatives and Alternative Forms of Enterprise Ownership"|"Cooperatives, credit unions, and other alternative forms of enterprise are unique businesses in which users (rather than investors) are the owners. Topics will include why these models emerge, who they serve, how they differ from other forms of enterprise, and the ways in which they can be used to address social, economic, and environmental challenges. "|"3"|337
239|"A A E 335"|335|"Introduction to Data Analysis using Spreadsheets"|"Introduction to data analysis for social scientists using spreadsheets software - with specific applications to economics, business and finance - including data management and manipulation; formulas and calculations; data visualization and presentation using charts and graphics; statistical and visual analysis of economic indicators using tables, functions, graphs and descriptive statistics; and optimization of functions with economic and financial data. "|"2"|25561
240|"A A E 340"|340|"Issues in Food Systems"|"With primary emphasis on the U.S., the course covers social, economic and biological dimensions of food systems. Using classroom and community experience, the course combines academic approaches with practitioner knowledge. A community project is required. "|"3-4"|21173
241|"A A E 343"|343|"Environmental Economics"|"Microeconomic principles underlying the use of natural resources such as air, water, forests, fisheries, minerals and energy. These principles are applied in the examination of pollution control, preservation vs. development, deforestation, and other environmental issues. "|"3-4"|7290
242|"A A E 350"|350|"World Hunger and Malnutrition"|"Hunger and poverty in developing countries and the United States. Topics include: nutrition and health, population, food production and availability, and income distribution and employment. "|"3"|14048
243|"A A E 352"|352|"Global Health: Economics, Natural Systems, and Policy"|"Sustaining global health and well-being depends critically on interactions between human and natural systems at multiple spatial and temporal scales.  Economics provides a useful paradigm for understanding these interactions and the pathways through which individual and societal decisions made in the face of scarce resources, and threats to the natural environment, generate health and well-being outcomes.  Provides students with an opportunity to use basic economic and social science reasoning to describe global heath challenges; understand the causes and consequences of health discrepancies; evaluate health and environmental policies; and appreciate the interconnectedness of planetary health and economic outcomes. "|"4"|25649
244|"A A E 367"|367|"Introduction to Organic Agriculture: Production, Markets, and Policy"|"Provides an in-depth understanding of the history of organic agriculture, its production, processing, marketing, and social dimensions, and its impact on environmental, community, and human health.  "|"3"|26039
245|"A A E 371"|371|"Energy, Resources and Economics"|"Use microeconomic theory to analyze energy markets. Discuss the economics of oil, gas, and electricity and learn about applications to contemporary issues and policy questions. "|"3"|25341
246|"A A E 373"|373|"Globalization, Poverty and Development"|"Addresses the process of globalization -- trade, international capital flows, labor migration and remittances, and aid -- from the perspective of developing economies and the development process. "|"3"|23010
247|"A A E 374"|374|"The Growth and Development of Nations in the Global Economy"|"This course explores the roles of markets, states, and civil institutions, using economic theory, computer simulations, and historical experience to better understand the forces that shape the wealth and well-being of nations and people around the world. "|"3"|346
248|"A A E 375"|375|"Special Topics"|"Special topics on contemporary issues relevant to agricultural and applied economics. "|"1-4"|347
249|"A A E 399"|399|"Coordinative Internship/Cooperative Education"|"An internship under guidance of a faculty or instructional academic staff member in Agricultural and Applied Economics and internship site supervisor. Students are responsible for arranging the work and credits with the AAE faculty or instructional academic staff member and the internship site supervisor. "|"1-8"|348
250|"A A E 400"|400|"Study Abroad in Agricultural and Applied Economics"|"Provides an area equivalency for courses taken on Madison Study Abroad Programs that do not equate to existing UW courses. Current enrollment in a UW-Madison study abroad program"|"1-6"|23288
251|"A A E 419"|419|"Agricultural Finance"|"Introduction to basic finance concepts.  Topics include financial statements, ratio analysis and interpretation, investment analysis, capital budgeting, credit concepts, and capital markets. "|"3"|350
252|"A A E 421"|421|"Economic Decision Analysis"|"Managerial oriented, applied presentation of microeconomic theory. Quantitative emphasis with extensive homework use of spreadsheets and written executive summaries of applied economic analyses. Applications on natural resources and agricultural markets. "|"4"|352
253|"A A E 422"|422|"Food Systems and Supply Chains"|"Examination of the structure of supply chains for food and agriculture and key business decisions in the the broader context of food systems. "|"3"|26280
254|"A A E 462"|462|"Latin American Economic Development"|"A historico-institutional analysis of development problems in the principal Latin American countries, with attention to differentiation of national growth patterns and alternative development strategies. "|"3"|2195
255|"A A E 473"|473|"Economic Growth and Development in Southeast Asia"|"Evaluates economic development strategies in Southeast Asia and their implications for growth, distribution and environment. Students learn trade and development theory as well as specific knowledge of Southeast Asian economic development. "|"3"|363
256|"A A E 474"|474|"Economic Problems of Developing Areas"|"Analyzes aggregate growth, income distribution and poverty in lower income economies. Uses microeconomics of imperfect labor, capital and insurance markets to explore why some individuals advance economically as their economies grow and others fall behind. Considers implications of aggregate and micro analysis for national and international economic policy. "|"3"|364
257|"A A E 477"|477|"Agricultural and Economic Development in Africa"|"Composition, organization, and techniques of agricultural production; economic change and development of agriculture, economic policies, special problems of developing African agriculture. "|"3"|367
258|"A A E 500"|500|"Senior Capstone Experience"|"Teaches students how to apply economic theory to economic problems, utilize quantitative techniques in economic analyses, and communicate findings and results of economic analyses. "|"3"|22133
259|"A A E 520"|520|"Community Economic Analysis"|"Economic theory (location and growth) applicable to community economic development; the role of private and public sector in local economic development, and techniques for economic analysis of community. "|"3"|370
260|"A A E 526"|526|"Quantitative Methods in Agricultural and Applied Economics"|"Use of quantitative methods (mathematics, statistics, and optimization) to analyze problems faced by decision makers in natural resources and agriculture. Extensive homework requiring use of quantitative methods via spreadsheet tools to solve problems from an applied decision context. "|"4"|356
261|"A A E 531"|531|"Natural Resource Economics"|"Economic concepts and tools relating to management and use of natural resources, including pricing principles, cost-benefit analysis, equity, externalities, economic rent, renewable and nonrenewable resources, and resource policy issues. "|"3"|359
262|"A A E 540"|540|"Intellectual Property Rights, Innovation and Technology"|"Uses economic concepts to illustrate the nature of technological innovation, competition, and economic growth. Topics: economics of the intellectual property protection (IPP); market structure and innovation; interaction between public and private sectors; IPP and anticompetitive policies; globalization. "|"3"|23085
263|"A A E 561"|561|"Energy Markets"|"Energy resources are an essential element of the world's business, political, technical and environmental landscape. Analytic tools provided by the discipline of economics expands our understanding of this critical issue. Energy supply markets reviewed include both fossil fuels and renewable resources. Energy demand sectors include residential, commercial, industrial and transportation. Electricity represents an intermediate energy market. The interactions among these markets participants indicate how scarce resources are allocated among competing needs in the world economy. "|"3"|24482
264|"A A E 635"|635|"Applied Microeconomic Theory"|"Microeconomic theory applied to consumers, producers, markets, and welfare analysis. Emphasis is on the mathematics of duality and optimization methods. Computer applications of the theory. One semester of linear algebra highly recommended."|"3"|383
265|"A A E 636"|636|"Applied Econometric Analysis I"|"Introduction to the standard linear regression model with an emphasis on application issues. Includes statistical foundation, hypothesis testing, functional form, model selection and procedures for handling violations of model assumption.."|"3"|384
266|"A A E 637"|637|"Applied Econometric Analysis II"|"Extension of the standard regression model is the primary focus. Topics: nonlinear regression models, maximum likelihood estimation, panel data, simultaneous equations, linear and nonlinear systems, analysis of discrete choice, limited dependent variables. Empirical economic applications and policy analysis. "|"3"|22815
267|"A A E 641"|641|"Foundations of Agricultural Economics"|"Overview of the economic performance of agriculture in feeding the growing world population. Examines contemporary economic issues in the food sector, along with research methods used in their analysis. Covers production analysis, risk and uncertainty, food demand, market structure, policy and welfare analysis. "|"3"|23933
268|"A A E 642"|642|"Foundations of Development Economics"|"An overview of development economics, covering both basic theory and empirical applications. Topics include economic growth, trade, measurement of poverty and inequality, human capital, agricultural household models, technology adoption, migration, credit, savings, insurance, infrastructure, and the environment. "|"3"|23934
269|"A A E 643"|643|"Foundations of Environmental and Natural Resource Economics"|"Survey of historical topics and contemporary research questions in environmental and resource economics. Focus areas include foundational models of human/environment interaction, definition and evaluation of the suite of environmental policy instruments, measuring environmental costs and benefits, and examining natural resource use. "|"3"|23932
270|"A A E 652"|652|"Decision Methods for Natural Resource Managers"|"Applications of quantitative methods, including optimization and simulation, to the management of natural resources, especially forests. "|"3-4"|7708
271|"A A E 671"|671|"Energy Economics"|"The method, application, and limitations of traditional economic approaches to the study of energy problems. Topics include microeconomic foundations of energy demand and supply; optimal pricing and allocation of energy resources; energy market structure, conduct, and performance; macro linkages of energy and the economy; and the economics of regulatory and other public policy approaches to the social control of energy. "|"3"|7372
272|"A A E 681"|681|"Senior Honors Thesis"|"Individual study for majors completing theses for Honors degrees as arranged with a faculty member. Requires consent of supervising instructor. Enrolled in CALS Honors Program."|"2-4"|387
273|"A A E 682"|682|"Senior Honors Thesis"|"Individual study for majors completing theses for Honors degrees as arranged with a faculty member. Requires consent of supervising instructor. Continuation of 681. Enrolled in CALS Honors Program."|"2-4"|21130
274|"A A E 691"|691|"Senior Thesis"|"Individual study for majors completing theses for AAE degrees as arranged with a faculty member. Requires consent of supervising instructor. "|"2"|388
275|"A A E 692"|692|"Senior Thesis"|"Individual study for majors completing theses for AAE degrees as arranged with a faculty member. Requires consent of supervising instructor. Continuation of A A E 691."|"2"|389
276|"A A E 699"|699|"Special Problems"|"Independent research guided by an AAE faculty or instructional academic staff member. Students are responsible for arranging the work and credits with the supervising instructor. "|"1-4"|390
277|"A A E 705"|705|"Applied Microeconomics"|"Focuses on developing a conceptual as well as empirical analysis of microeconomic behavior, including production and consumption analysis, technical change, and investment. Emphasizes empirical applications of microeconomics, with implications for efficiency and welfare analysis. Knowledge of statistics such as MATH/STAT 309 is recommended."|"3"|391
278|"A A E 706"|706|"Applied Risk Analysis"|"Conceptual empirical analysis of economic behavior under risk and its implications for management and policy decisions. Emphasis on economic applications to the agricultural and food sector. "|"3"|392
279|"A A E 719"|719|"Applied Business Economics"|"Overview of fundamental topics related to macroeconomics, economic measurement and financial markets, with specific applications to agricultural business and policy. Concepts include fiscal and monetary policy, the money system, models of aggregate supply and demand, business cycles, financial instruments, productivity, measurements and indicators of employment and economic growth, financial institutions, forecasting, and international trade and finance. "|"3"|26203
280|"A A E 720"|720|"Seminar in Quantitative and Applied Economics"|"This is a 1 credit seminar that will be offered each spring. There will be different presenters each year. "|"1"|25005
281|"A A E 721"|721|"Professional Communication of Applied Economic Analysis"|"Focuses on professional communication in a variety of contexts. Examples include but are not limited to: presenting results for technical and non-technical audiences, writing about research findings, synthesizing knowledge from multiple sources, and summarizing and critiquing different analysis strategies. Students will develop their writing and speaking skills by completing stand-alone tasks, and by coordinating communication tasks with exercises in simultaneously offered theory and econometric classes. "|"1"|25058
282|"A A E 722"|722|"Machine Learning in Applied Economic Analysis"|"The basic methods, implementation and applications of machine learning for understanding contemporary economic issues using large data sets. Building upon understanding of standard econometric models, the topics include data mining techniques; regression model selection and regularization; post selection inference and economic applications; tree-based methods; neural networks; random forests and casual inference; and unsupervised learning. "|"4"|25170
283|"A A E 723"|723|"Professional Development Seminar"|"Professional development for applied economists in sequential contexts. Examples include understanding and preparing for the professional economist job market; preparing and packaging job search materials; technical and non-technical interactions with potential employers and clients; understanding leadership styles and exploring leadership potential; examining professional ethics and norms; and gaining exposure to trends in professional development. Students will develop career skills by completing stand-alone activities, and by coordinating soft skill development tasks with exercises in simultaneously or previously offered theory and econometric classes. "|"1"|25171
284|"A A E 724"|724|"Practicum for Applied Economists"|"One part of a series of courses to train students in the quantitative methods typically used by economic analysts in a professional setting. Provides students with the opportunity to synthesize the material they've learned in their coursework in a start-to-finish econometric analysis similar in scope and timeline to what they often would be expected to do in a professional setting. The final course product is a professional report. Students should think of this report as a professional analyst's Master's thesis - a demonstration of the student's training and capability for professional work, to be shared with prospective employers. "|"4"|25172
285|"A A E 730"|730|"Frontiers in Development Economics 1"|"Theory and empirical evidence on growth and development in low-income countries. Topics may include: measurement of poverty and inequality, risk and insurance, social networks, technology adoption, education, corruption, institutions, and behavioral economics. "|"3"|22990
286|"A A E 731"|731|"Frontiers in Development Economics 2"|"Theory and evidence on growth and development in emerging economies, with primary focus on globalization, trade, labor markets and human capital. We use open-economy general equilibrium models to examine welfare implications of global shocks and domestic economic policies. "|"3"|397
287|"A A E 737"|737|"Applied Econometric Analysis III"|"Prepares students for their own empirical work by examining contemporary econometric techniques as they are used in development, environment and natural resources, and agricultural economics. Guides students through a selection of applied models using past and current research as examples. By hearing lectures and working through papers, problem sets, replication exercises, and/or research projects, students will develop a deeper understanding of the many facets of empirical research in economics. "|"3"|24800
288|"A A E 746"|746|"Frontiers in Agricultural Economics 1"|"Economics of agricultural technology innovation and adoption, properties and measurement of production and productivity, and impact evaluation. Empirical methods, including surveys, experiments, randomized trials, and instrumental variable methods of testing applied microeconomic models. "|"3"|23930
289|"A A E 747"|747|"Frontiers in Agricultural Economics 2"|"Organization, design, and performance of food and agricultural markets. Industrial organization; firm boundaries, contracting, and collective action; spatial, temporal, and quality dimensions of market design. "|"3"|407
290|"A A E 760"|760|"Frontiers in Environmental and Natural Resource Economics 1"|"Economic tools and principles pertaining to the optimal management of natural resources. Theoretical models characterize efficient resource use and predict management decisions under different institutional settings. Empirical applications relate to public and private management of forests, fish, wildlife, minerals, and energy resources. Examples highlight the importance of discount rates, property rights, and government policies. "|"3"|408
291|"A A E 762"|762|"Frontiers in Environmental and Natural Resource Economics 2"|"The role of markets and government in the allocation of environmental goods and services. Topics include public goods, externalities and market failure; policy instruments for dealing with environmental quality problems such as air pollution; and distributional impacts of environmental regulations. "|"3"|410
292|"A A E 770"|770|"Introduction to Quantitative Methods in Resource and Energy Economics"|"The fundamental mathematics and statistics necessary for the study of quantitative methods in resource and energy demand. Topics include the mathematics of optimization and its role in basic welfare theory and consumer demand; linear and matrix algebra and their application in both modeling consumer behavior and the statistical analysis of models; and the fundamentals of statistical analysis relevant to econometric analysis of resource and energy demand, including probability theory, sampling distributions, and statistical inference. "|"3"|24288
293|"A A E 771"|771|"Microeconomics of Resources and Energy: Theory to Practice"|"Applying economic theory to the practice of resource and energy demand analysis. Topics include consumer demand theory and the proper modeling of demand systems, theoretical underpinnings of behavioral economics, welfare theory, cost benefit analysis and cost-effectiveness analysis, and technology adoption and diffusion. "|"3"|24287
294|"A A E 772"|772|"Applied Econometrics of Resource and Energy Demand"|"The estimation of the economic models of resource and energy demand, including evaluation of energy and resource programs, estimating demand systems in the study of dynamic pricing models, estimating discrete choice models, forecasting resource and energy demand from econometric models, and topics in the application of big-data analytics in resource and energy demand analysis. "|"4"|24261
295|"A A E 773"|773|"Seminar in Resource and Energy Demand Analysis"|"Current issues in resource and demand analysis, with presentations by academic researchers and industry professionals, to introduce students to current issues in resource and demand analysis, and to develop their critical thinking about addressing these issues. "|"1-2"|24262
296|"A A E 774"|774|"Practicum in Resource and Energy Demand Analysis I"|"""The first in a 2-course sequence that comprises the capstone course in Resource and Energy Demand Analysis, in which students synthesize their training in a simulated """"real world"""" analysis. The course is designed to reflect the full range of professional responsibilities of a resource/energy demand analyst, from data retrieval/cleaning to analysis to reporting. """|"1"|24289
297|"A A E 776"|776|"Practicum in Resource and Energy Demand Analysis II"|"""The second in a 2-course sequence that comprises the capstone course in Resource and Energy Demand Analysis, in which students synthesize their training in a simulated """"real world"""" analysis. The courses is designed to reflect the full range of professional responsibilities of a resource/energy demand analyst, from data retrieval/cleaning, to analysis, to reporting. """|"3"|24328
298|"A A E 777"|777|"Survey and Sample Design in Applied Economics"|"Teaches generation and use of survey data. Topics include identification of target population, random, stratified, & cluster sampling, power analysis, survey collection & implementation, retrospective and prospective surveys of respondent choice, experimental choice in survey design, and econometric modeling of respondent choices. "|"2"|24796
299|"A A E 780"|780|"Research Colloquium"|"For AAE Ph.D. students to develop a dissertation proposal. Working in groups and with some additional feedback from individual advisors. Developing research questions, literature search, word models, math models, testable hypotheses, identification strategies. Working with data, using LATEX, giving presentations. Peer review of weekly assignments. Developing cohort for subsequent feedback through dissertation writing and job search. "|"3"|24182
300|"A A E 799"|799|"Practicum in Agricultural and Applied Economics Teaching"|"Instructional orientation to teaching at the higher education level in the agricultural and life sciences, direct teaching experience under faculty supervision, experience in testing and evaluation of students, and the analysis of teaching performance. "|"1-3"|412
301|"A A E 835"|835|"Game Theory and Political Analysis"|"An introduction to the tools of game theoretic analysis, with reference to the use of game theory in political science. Intended for those desiring a basic familiarity with the theory, and  for those planning further work in formal modeling. "|"3"|22504
302|"A A E 875"|875|"Special Topics"|"Special topics on contemporary issues relevant to agricultural and applied economics. "|"1-4"|420
303|"A A E 881"|881|"Benefit-Cost Analysis"|"Presents the welfare economics underpinnings for evaluating the social benefits and costs of government activities. Issues such as uncertainty, the social discount rate, and welfare weights will be discussed; case studies from the environmental, social policy, and agricultural areas will be studied. "|"3"|16597
304|"A A E 982"|982|"Interdepartmental Seminar in the Latin-American Area"|"Interdisciplinary inquiry in Latin American society and culture. "|"1-3"|1037
305|"A A E 990"|990|"Research and Thesis"|"Independent research and writing to complete dissertation requirement. "|"1-12"|439
306|"A A E 999"|999|"Special Work - Agricultural and Applied Economics"|"Directed study projects for graduate students as arranged with a faculty member. "|"1-3"|440
307|"AGROECOL 103"|103|"Agroecology: An Introduction to the Ecology of Food and Agriculture"|"Agroecology has blossomed across the world in recent decades as not only a science, but also a practice, and a movement. Employ the multiple disciplines and perspectives that Agroecology affords to analyze our agricultural and food systems wihin a broader context of dynamic social and ecological relationships. "|"3"|24799
308|"AGROECOL 371"|371|"Managed Grazing Field Study"|"For those interested in developing a comprehensive understanding of the principles, practices, and conservation potential of managed grazing systems, and how these farming systems may contribute to the sustainability and diverse tapestry of Wisconsin's working landscape. Visit managed grazing systems of successful grazing-based farmers (graziers) across southern/central counties in Wisconsin, and/or research sites at UW's Arlington and/or Lancaster Research Stations and/or the Discovery Farms Program. An opportunity to discuss at length with farm managers and researchers the practices in place at each farm and research site. Includes introduction to CALS/UWEX pasture forage/nutrient management planning and budgeting software. "|"1-2"|24339
309|"AGROECOL 400"|400|"Study Abroad in Agroecology"|"Provides an area equivalency for courses taken on Madison Study Abroad Programs that do not equate to existing UW courses. Current enrollment in a UW-Madison study abroad program"|"1-6"|23294
310|"AGROECOL 699"|699|"Special Problems"|"Scholarship on special topics, under the supervision of an agroecology faculty member. "|"1-3"|22856
311|"AGROECOL 701"|701|"The Farm as Socio-Environmental Endeavor"|"Farms may be analyzed as intentional entities shaped by the contexts in which they must operate. This course explores how these biophysical and social contexts both exert constraints and provide opportunities, leading to the diversity of farms observed. "|"3"|22857
312|"AGROECOL 702"|702|"The Multifunctionality of Agriculture"|"Agroecology systems provide a variety of social, economic, and ecological functions to society, each with a different network of stakeholders. This course explores methods of evaluating these diverse functions and perspectives, with a special focus on participatory approaches. "|"3"|22858
313|"AGROECOL 710"|710|"Agroecology Seminar"|"Weekly seminar on topics in agroecology. "|"1"|22859
314|"AGROECOL 720"|720|"Agroecology Field Study"|"Field study of farms, processing, marketing, distribution, and policy-making in the food system. Courses will be several days of visits, discussions with the operators, and student-faculty discussion sections. Presentations or written reports may be required. "|"1-3"|22860
315|"AGROECOL 724"|724|"Agroecosystems and Global Change"|"Impacts of global change drivers (climate change, atmospheric chemistry, bioenergy, urbanization, policy) on agroecosystems and their associated goods and services; environmental impacts of agricultural land use and feedbacks to climate; modeling approaches; critical review of current scientific literature. "|"3"|23598
316|"AGROECOL 875"|875|"Topics in Agroecology"|"This course number provides for opportunities to develop and test possible new courses, or to accommodate visiting scholars who may wish to offer a course. "|"1-3"|22861
317|"AGROECOL 990"|990|"Research"|"Independent research on the student's thesis or degree project. "|"1-12"|22862
318|"AGRONOMY 100"|100|"Principles and Practices in Crop Production"|"Plant science applied to the growth, production, management, distribution and utilization of field crops. "|"4"|656
319|"AGRONOMY 103"|103|"Agroecology: An Introduction to the Ecology of Food and Agriculture"|"Agroecology has blossomed across the world in recent decades as not only a science, but also a practice, and a movement. Employ the multiple disciplines and perspectives that Agroecology affords to analyze our agricultural and food systems wihin a broader context of dynamic social and ecological relationships. "|"3"|24799
320|"AGRONOMY 203"|203|"Introduction to Global Health"|"Introduces students to global health concepts through multidisciplinary speakers dedicated to improving health through their unique training.  It targets students with an interest in public health and those who wish to learn how their field impacts their global issues. "|"3"|23580
321|"AGRONOMY 289"|289|"Honors Independent Study"|"Research work under direct guidance of an Agronomy faculty or instructional academic staff member. Students are responsible for arranging the work and credits with the supervising instructor. Intended for students in the CALS Honors Program."|"1-2"|657
322|"AGRONOMY 299"|299|"Independent Study"|"Research work under direct guidance of a faculty or instructional academic staff member. Students are responsible for arranging the work and credits with the supervising instructor."|"1-3"|658
323|"AGRONOMY 300"|300|"Cropping Systems"|"Agronomic cropping systems of the Midwest: environmental impacts, productivity, and profitability. Cropping system diversification and sustainable agriculture. An agroecological approach, the application of ecological concepts and principles for the improvement of cropping systems is emphasized. "|"3"|659
324|"AGRONOMY 302"|302|"Forage Management and Utilization"|"Establishment, management, harvesting and utilization of forage crops for use as hay, pasture and silage. Emphasis on cool season perennial grasses and legumes. "|"3"|661
325|"AGRONOMY 326"|326|"Plant Nutrition Management"|"Functions, requirements and uptake of essential plant nutrients; chemical and microbial processes affecting nutrient availability; diagnosis of plant and soil nutrient status; fertilizers and efficient fertilizer use in different tillage systems. "|"3"|17799
326|"AGRONOMY 338"|338|"Plant Breeding and Biotechnology"|"Principles of transferring plant genes by sexual, somatic, and molecular methods and the application of gene transfer in plant breeding and genetic engineering to improve crop plants. "|"3"|675
327|"AGRONOMY 339"|339|"Plant Biotechnology: Principles and Techniques I"|"Theoretical and practical training in plant biotechnology including molecular biology, protein biochemistry and basic bioinformatic techniques used in fundamental and applied research on plants. Valuable hands-on training to those interested in careers in biotechnology. "|"4"|22773
328|"AGRONOMY 340"|340|"Plant Cell Culture and Genetic Engineering"|"Presents an overview of the techniques, biology and underlying theory of plant tissue culture, genetic engineering and genome editing. Overviews of research and commercial applications, and issues/challenges in the area of plant biotechnology are also covered. "|"3"|22774
329|"AGRONOMY 350"|350|"World Hunger and Malnutrition"|"Hunger and poverty in developing countries and the United States. Topics include: nutrition and health, population, food production and availability, and income distribution and employment. "|"3"|14048
330|"AGRONOMY 354"|354|"Diagnosing and Monitoring Pest and Nutrient Status of Field Crops"|"Provides students with information necessary to diagnosis and monitor corn, soybean, alfalfa and wheat for pests (insects, weeds, diseases) and nutrient deficiency symptoms including perspectives from Agronomy, Entomology, Horticulture, Plant Pathology and Soil Science. Proper soil and pest sampling information will be provided as will proper cropstaging techniques which are essential for pest and nutrient management. "|"1"|24107
331|"AGRONOMY 360"|360|"Genetically Modified Crops: Science, Regulation & Controversy"|"Explores how and why genetically modified (GM) crops are created and their regulation at the federal and state level. Through case studies, students will learn about the impacts of GM crops and critically evaluate arguments both for and against their use. Readings and discussion introduce students to the complex economic, cultural, and political issues surrounding GM crops. "|"2"|24689
332|"AGRONOMY 367"|367|"Introduction to Organic Agriculture: Production, Markets, and Policy"|"Provides an in-depth understanding of the history of organic agriculture, its production, processing, marketing, and social dimensions, and its impact on environmental, community, and human health.  "|"3"|26039
333|"AGRONOMY 370"|370|"Grassland Ecology"|"Understand factors driving global, continental, regional, and local distribution of grasslands. Discuss how management affects provision of grassland ecosystem goods and services. Compare and contrast plant community and ecosystem dynamics in native prairie and intensively managed pastures. "|"3"|23138
334|"AGRONOMY 371"|371|"Managed Grazing Field Study"|"For those interested in developing a comprehensive understanding of the principles, practices, and conservation potential of managed grazing systems, and how these farming systems may contribute to the sustainability and diverse tapestry of Wisconsin's working landscape. Visit managed grazing systems of successful grazing-based farmers (graziers) across southern/central counties in Wisconsin, and/or research sites at UW's Arlington and/or Lancaster Research Stations and/or the Discovery Farms Program. An opportunity to discuss at length with farm managers and researchers the practices in place at each farm and research site. Includes introduction to CALS/UWEX pasture forage/nutrient management planning and budgeting software. "|"1-2"|24339
335|"AGRONOMY 375"|375|"Special Topics"|"Special topics on issues relevant to Agronomy. "|"1-4"|683
336|"AGRONOMY 376"|376|"Tropical Horticultural Systems"|"Highlight the connections between tropical plants and society through a combination of readings, writing assignments, lectures, and collaborative work. Discussions include multidisciplinary reflections on the biology of tropical plants, as well as an overview of different production systems and some of the social and environmental problems associated with the utilization of plants in the context of local and global markets. Provides the opportunity to demonstrate comparative skills with respect to local and international challenges posed by the topics we address in class. By the end of this course, the student will be able to make connections between horticulture and conservation, food security, nutrition, and global health. "|"1"|24628
337|"AGRONOMY 377"|377|"Global Food Production and Health"|"Crops, food, and cropping systems from different parts of the world and their impact on global sustainability and health. Introduction to crop biology, environmental requirements, and agronomic production practices of major food crops. Environmental, socioeconomic, and health impacts of farming systems and how to assess their sustainability. For those with broad interests in global issues, agroecology, food, environment, health, and agriculture. "|"3"|684
338|"AGRONOMY 399"|399|"Coordinative Internship/Cooperative Education"|"An internship under guidance of a faculty or instructional academic staff member in Agronomy and internship site supervisor. Students are responsible for arranging the work and credits with the faculty or instructional academic staff member and the internship site supervisor."|"1-8"|686
